РЕГИСТЪР НА ВЪВЕДЕНИТЕ В ЕКСПЛОАТАЦИЯ СТРОЕЖИ ОТ ЧЕТВЪРТА И ПЕТА КАТЕГОРИЯ,,,
4/08.07.2024г.,К-2025/04.07.2024г.,"Реконструкция на част от улична мрежа в гр. Гурково, община Гурково, област Стара Загора - етапно                                                           Първи етап : Основен ремонт и реконструкция на улица ""Стефан Караджа"" от о.т.92 през о.т. 98, о.т.97 до о.т. 134, ПИ с идентификатор 18157.501.887 по КККР на гр.Гурково, община Гурково","ПИ 18157.501.887 по КККР                      от о.т.92 през о.т.98, о.т.97 до о.т. 134  по ПР                                                    гр. Гурково ул.""Стефан Караджа"""
5/08.07.2024г.,К-2026/04.07.2024г.,"Реконструкция на част от улична мрежа в гр. Гурково, община Гурково, област Стара Загора - етапно                                                           Четвърти етап : Основен ремонт и реконструкция на улица ""Любен Каравелов"" от о.т.14 през о.т. 15, о.т.16, о.т.1016, о.т.1027 до о.т.27, ПИ с идентификатор 18157.501.412 по КККР на гр. Гурково, община Гурково","ПИ 18157.501.412 по КККР                       от о.т.14 през о.т.15, о.т.16, о.т.1016, о.т.1027 до о.т. 27  по ПР                                                    гр. Гурково ул.""Любен Каравелов"""
6/08.07.2024г.,К-2023/04.07.2024г.,"Основен ремонт и реконструкция на част от улична мрежа в гр. Гурково, община Гурково, област Стара Загора - етапно                                                           Трети етап : Основен ремонт и реконструкция на улица ""Кокиче"" от о.т.75 до о.т.76, ПИ с идентификатор 18157.501.2103 по КККР на гр. Гурково, община Гурково","ПИ 18157.501.2103 по КККР                       от о.т.75 до о.т. 76  по ПР                                                    гр. Гурково ул.""Кокиче"""
7/08.07.2024г.,К-2024/04.07.2024г.,"Реконструкция на част от улична мрежа в гр. Гурково, община Гурково, област Стара Загора - етапно                                                           Втори етап : Основен ремонт и реконструкция на улица ""Градинска"" от о.т.167, през о.т.169 до о.т.170, ПИ с идентификатор 18157.501.927 по КККР на гр. Гурково, община Гурково","ПИ 18157.501.927 по КККР                 от о.т. 167 през о.т.169 до о.т. 170 по ПР                                                               гр. Гурково ул. ""Градинска"""
8/08.07.2024г.,К-2022/04.07.2024г.,"Основен ремонт и реконструкция на част от улична мрежа в с. Конаре, община Гурково, област Стара Загора - етапно                                                           Десети етап : Основен ремонт и реконструкция на улица  от о.т.41, през о.т.182 до о.т.34, ПИ с идентификатор 38203.501.720 по КККР на с. Конаре, община Гурково","ПИ 38203.501.720 по КККР                 от о.т. 41 през о.т.182 до о.т. 34 по ПР  на    с. Конаре, община Гурково"
9/08.07.2024г.,К-2021/04.07.2024г.,"Реконструкция на част от улична мрежа в с. Паничерево, община Гурково, област Стара Загора - етапно                                                           Втори етап : Реконструкция на улица  ""Кокиче"" от о.т.191 до о.т.192, ПИ 22767.501.736, 22767.501.734 и 22767.501.738 по КККР на с. Паничерево, община Гурково","ПИ 22767.501.736, 22767.501.734 и 22767.501.738  по КККР                           от о.т. 191  до о.т. 192 по ПР  на    с. Паничерево, ул. ""Кокиче"""
10/17.09.2024г.,К-2743/12.09.2024г.,"Основен ремонт и реконструкция на част от улична мрежа в гр. Гурково, община Гурково, област Стара Загора - етапно                                                           Шести етап : Основен ремонт и реконструкция на улица  ""Павли Телкиев"" от о.т.78, през о.т.156 до о.т.155, ПИ 18157.501.894 по КККР на гр. Гурково, община Гурково","ПИ 18157.501.894 по КККР                 от о.т. 78 през о.т.156 до о.т. 155 по ПР  на   гр. Гурково ул. ""Павли Телкиев"""
11/04.11.2024г.,К-3285/01.11.2024г.,"Комплекс за отдих, открит навес-съблекалня, гаражи, басейн и масивна ограда по уличната регулационна линия","ПИ 38203.501.780 по КККР                    УПИ ІІ - 780 в кв. 61 по ПР                          с. Конаре, община Гурково"
12/04.12.2024г.,К-3606/04.12.2024г.,Еднофамилна жилищна сграда,"ПИ 22767.501.415 по КККР                                УПИ ХІІ - 415  в кв. 47 по ПР                           с. Паничерево ул. ""Вихрен"" №1"
13/04.12.2024г.,К-3607/04.12.2024г.,"Плристройка към дърводелски цех - битовка, офис и ремонтна работилница; Пристройка към цех за изкупуване и преработка на диворастящи гъби и горски плодове - склад и два навеса; Складове и навеси - етапно","ПИ 18157.125.949 по КККР                                УПИ ХV - 949 в кв. 125 по ПР                                   гр. Гурково местност ""Гарата"""
